"Hurry! You won a cash prize of 5000 dollars",1
"The quality is cheap and it smells like plastic",0
"Limited time offer: click to claim your free reward",1
"The product arrived on time and works perfectly",0
"Invest 100 rupees and get 10000 back in 2 days",1
"Very disappointed, the size is way too small",0
"Account suspended! Log in here to verify your identity",1
"Great value for money, highly recommended",0
"review","label"
"bhaut hi bakwas quality hai paisa barbad",0
"CONGRATULATIONS aapko mila hai 5000 ka cashback click karein",1
"ek dum asli product hai maza aa gaya",0
"Urgent: Aapka bank account block ho jayega link par click karein",1
"packing bahut gandi thi product toot gaya",0
"Free iPhone chahiye toh abhi is link ko share karein",1
"fake product bheja hai amazon ne",0
"Winner winner! Click to get your prize",1
"very bad experience never buy this",0
"Aapka lottary laga hai jaldi claim karein",1